financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
52,90,4.1,92,37,1070-1280,107,#48Tie,36,13,42.1,17:1,/best-colleges/penn-state-6965,"University Park, PA",46615,"in-state: $17,502, out-of-state: $30,452",76,Pennsylvania State University—​University Park,65,95,85,78,9,55.5,3.6,15.4
47,99,3.8,96,35,1170-1360,45,#48Tie,77,16,47.2,21:1,/best-colleges/university-of-florida-1535,"Gainesville, FL",49878,"in-state: $6,313, out-of-state: $28,591",83,University of Florida,72,97.3,87,97,4,46.6,3.6,14.6
25,44,4,91,62,1230-1420,36,#48Tie,72,8,50.4,12:1,/best-colleges/university-of-miami-1536,"Coral Gables, FL",16935,"$44,350",86,University of Miami,65,87.9,82,92,-4,40.5,3.2,15.2
34,144,4,93,56,1100-1360,54,#48Tie,92,22,33.5,11:1,/best-colleges/university-of-washington-3798,"Seattle, WA",43762,"in-state: $12,394, out-of-state: $33,513",80,University of Washington,75,90.1,82,98,2,55.2,3.8,14.1
18,24,3.4,91,40,1100-1370,88,#48Tie,45,1,64.3,6:1,/best-colleges/yeshiva-university-2903,"New York, NY",6744,"$38,730",83,Yeshiva University,48,85.8,89,75,6,82.2,2.8,18.2
77,118,4.2,93,56,1140-1380,45,#53,75,26,34.5,18:1,/best-colleges/university-of-texas-3658,"Austin, TX",52059,"in-state: $9,798, out-of-state: $34,722",82,University of Texas—​Austin,104,96.7,79,91,-3,40.2,4,11.8
59,65,4.3,93,50,1200-1390,54,#54Tie,50,9,55.8,13:1,/best-colleges/gwu-1444,"Washington, DC",25264,"$48,760",87,George Washington University,147,69.9,81,84,-6,34.4,3.5,8.6
74,136,4.1,93,56,27-31,58,#54Tie,58,23,29.6,19:1,/best-colleges/ohio-state-6883,"Columbus, OH",57466,"in-state: $10,037, out-of-state: $26,537",80,Ohio State University—​Columbus,75,87.6,83,92,3,55.5,3.7,14
64,44,4.3,91,56,1130-1340,64,#54Tie,47,3,67.6,13:1,/best-colleges/pepperdine-university-1264,"Malibu, CA",7315,"$46,692",78,Pepperdine University,147,78.1,80,83,2,37.3,3.2,8.9
59,27,4.2,90,86,29-32,76,#54Tie,58,6,64,9:1,/best-colleges/tulane-university-2029,"New Orleans, LA",13462,"$48,305",82,Tulane University,52,81,76,83,-6,26.4,3.4,18
