high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,7.5%,2.7,60,7%,890-1070,21:1,"Bloomsburg, PA",26%,122,93.3%,84,13,7%,#98Tie,"in-state: $8,914, out-of-state: $19,144",88.6%,80%,/best-colleges/bloomsburg-university-3315,62%,49%,10127,152,18.7%,Bloomsburg University of Pennsylvania,161
N/A,11.1%,2.3,64,0.2%,920-1160,13:1,"St. Davids, PA",51%,59,56.2%,54,-1,19%,#98Tie,"$29,600",74.8%,79%,/best-colleges/eastern-university-3259,55%,56%,4004,62,84.9%,Eastern University,113
N/A,3.7%,2.7,74,0%,890-1100,13:1,"Stevenson, MD",31%,117,49.8%,164,1,11%,#98Tie,"$28,980",59.6%,74%,/best-colleges/stevenson-university-2107,56%,55%,4290,91,65%,Stevenson University,90
N/A,12.5%,2.5,115,0%,830-1000,13:1,"Jersey City, NJ",38%,122,68.9%,46,7,15%,#98Tie,"$33,232",54.1%,74%,/best-colleges/st-peters-college-2638,53%,46%,3194,39,66.8%,St. Peter's University,61
N/A,8.9%,2.6,104,3%,930-1130,16:1,"West Haven, CT",41%,76,65.6%,73,0,14%,#98Tie,"$34,630",74.4%,75%,/best-colleges/university-of-new-haven-1397,55%,55%,6555,86,38.2%,University of New Haven,80
N/A,7.8%,2.6,110,1%,930-1100,16:1,"Willimantic, CT",31%,87,67.9%,82,1,9%,#103Tie,"in-state: $9,560, out-of-state: $19,846",64.6%,77%,/best-colleges/eastern-connecticut-state-1425,51%,50%,5368,45,37.3%,Eastern Connecticut State University,90
N/A,6.3%,2.7,93,2%,860-1070,16:1,"Plymouth, NH",20%,133,66.1%,101,11,4%,#103Tie,"in-state: $12,677, out-of-state: $20,587",78%,74%,/best-colleges/plymouth-state-2591,56%,45%,5237,43,53.3%,Plymouth State University,174
N/A,5.2%,2.6,133,0.4%,920-1100,15:1,"Wayne, NJ",N/A,96,59.5%,120,2,N/A,#103Tie,"in-state: $11,918, out-of-state: $19,458",68.1%,77%,/best-colleges/william-paterson-2625,49%,47%,11414,14,52%,William Paterson University of New Jersey,108
N/A,3.6%,2.7,137,7%,890-1060,15:1,"Buffalo, NY",32%,102,74.5%,166,8,3%,#106Tie,"in-state: $7,347, out-of-state: $16,997",48.6%,75%,/best-colleges/buffalo-state-2842,50%,42%,11091,98,45.9%,SUNY Buffalo State,90
N/A,4%,2.4,142,1%,1010-1160,18:1,"Utica, NY",45%,41,69.6%,161,-4,13%,#106Tie,"in-state: $7,530, out-of-state: $17,155",47.6%,75%,/best-colleges/suny-it-11678,48%,52%,2483,9,63.5%,SUNY Polytechnic Institute,51
N/A,6.9%,2.4,87,1%,890-1110,14:1,"Waynesburg, PA",47%,80,55.6%,95,3,18%,#106Tie,"$21,290",83.1%,80%,/best-colleges/waynesburg-3391,54%,51%,2190,79,67.6%,Waynesburg University,90
N/A,5.8%,2.4,54,3%,850-1050,14:1,"Gwynedd Valley, PA",21%,133,48.4%,114,18,7%,#109Tie,"$30,460",65.9%,80%,/best-colleges/gwynedd-mercy-college-3270,67%,49%,2371,164,70.2%,Gwynedd Mercy University,145
N/A,11.2%,2.4,110,0.2%,910-1093,14:1,"Newburgh, NY",38%,95,60%,54,4,10%,#109Tie,"$27,312",86%,70%,/best-colleges/mount-st-mary-college-2778,52%,48%,2556,72,47.6%,Mount St. Mary College,99
N/A,8.8%,2.5,115,1%,890-1070,12:1,"Reading, PA",33%,124,59.3%,73,7,8%,#111Tie,"$30,080",77.6%,73%,/best-colleges/alvernia-university-3233,51%,44%,2871,98,64.2%,Alvernia University,99
N/A,13.8%,2.1,74,1%,900-1170,13:1,"Langhorne, PA",49%,84,72.1%,32,8,26%,#111Tie,"$23,110",68.1%,76%,/best-colleges/philadelphia-biblical-3351,60%,52%,1095,140,68.3%,Cairn University,87
N/A,4.7%,2.6,121,2%,910-1100,16:1,"New Britain, CT",21%,109,73%,128,2,10%,#111Tie,"in-state: $8,877, out-of-state: $19,163",64.1%,78%,/best-colleges/ccsu-1378,52%,50%,11865,67,42.3%,Central Connecticut State University,113
