high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,N/A,2.6,35,0.4%,18-24,14:1,"West Liberty, WV",37%,36,82.8%,72,5,11%,#52Tie,"in-state: $6,226, out-of-state: $13,540",71.2%,70%,/best-colleges/west-liberty-3823,41%,36%,2776,57,66.9%,West Liberty University,91
N/A,7.6%,2.5,65,0%,800-1010,14:1,"Bluefield, VA",27%,57,76%,45,4,8%,#54Tie,"$22,840",57.3%,53%,/best-colleges/bluefield-college-3703,45%,41%,842,25,76.6%,Bluefield College,53
N/A,8.7%,2.7,61,0%,840-1080,15:1,"Banner Elk, NC",29%,63,76.3%,36,-9,8%,#54Tie,"$24,150",66.5%,60%,/best-colleges/lees-mcrae-college-2939,38%,47%,890,50,71.7%,Lees-​McRae College,45
N/A,3.1%,2.5,49,1%,18-23,12:1,"Grayson, KY",32%,35,83.1%,66,0,10%,#56Tie,"$16,860",51.4%,61%,/best-colleges/kentucky-christian-1965,39%,39%,586,64,66.7%,Kentucky Christian University,48
N/A,4.6%,2.2,45,0%,19-23,10:1,"Vienna, WV",29%,28,51.2%,53,-6,10%,#56Tie,"$19,260",37.9%,59%,/best-colleges/ohio-valley-university-3819,40%,46%,459,27,85.8%,Ohio Valley University,24
N/A,3.5%,2.4,37,0%,833-1060,14:1,"Mount Olive, NC",N/A,71,56%,61,3,N/A,#56Tie,"$17,300",47.8%,64%,/best-colleges/mount-olive-college-2949,37%,34%,3414,40,70%,University of Mount Olive,58
N/A,3.5%,2.9,91,1%,830-1010,17:1,"Bluffton, SC",24%,61,72.7%,61,-13,5%,#59Tie,"in-state: $9,092, out-of-state: $19,478",68.1%,53%,/best-colleges/uscb-3450,27%,40%,1724,10,58.8%,University of South Carolina—​Beaufort,53
N/A,4.1%,2.6,42,0%,20-25,13:1,"Walnut Ridge, AR",N/A,41,82.9%,59,-4,N/A,#59Tie,"$14,360",68%,N/A,/best-colleges/williams-baptist-1106,39%,43%,572,70,57.9%,Williams Baptist College,71
N/A,N/A,2.4,20,N/A,19-25,N/A,"Midway, KY",N/A,41,54.6%,72,11,N/A,#61,"$22,150",53.8%,72%,/best-colleges/midway-1975,48%,37%,,91,N/A,Midway College,75
N/A,4%,2.8,75,4%,860-1030,18:1,"Morrow, GA",40%,36,83.9%,59,-6,12%,#62Tie,"in-state: $6,194, out-of-state: $18,700",46.3%,67%,/best-colleges/clayton-state-8976,29%,35%,7261,58,44.2%,Clayton State University,70
N/A,N/A,2.9,54,N/A,860-1060,N/A,"Fayetteville, NC",N/A,65,84.7%,72,-7,N/A,#62Tie,"$27,830",61.2%,55%,/best-colleges/methodist-university-2946,40%,47%,,85,N/A,Methodist University,75
N/A,0.6%,2.9,66,2%,N/A,23:1,"Fort Pierce, FL",N/A,93,58%,97,N/A,N/A,#64Tie,"in-state: $2,764, out-of-state: $10,201",100%,60%,/best-colleges/indian-river-state-college-1493,N/A,N/A,17247,55,39.4%,Indian River State College,93
N/A,N/A,2.6,49,N/A,833-1050,N/A,"Greenwood, SC",N/A,63,84.2%,72,-2,N/A,#64Tie,"in-state: $10,100, out-of-state: $19,136",42.2%,61%,/best-colleges/lander-university-3435,40%,42%,,58,N/A,Lander University,75
N/A,5.1%,2.4,53,0%,930-1090,13:1,"Gaffney, SC",19%,51,89.7%,53,-7,3%,#64Tie,"$23,000",53.7%,59%,/best-colleges/limestone-college-3436,37%,44%,1121,21,63.4%,Limestone College,75
N/A,4.6%,2.6,64,0%,860-1120,14:1,"Waleska, GA",30%,55,62.2%,53,-18,8%,#64Tie,"$19,166",59.6%,64%,/best-colleges/reinhardt-college-1589,28%,46%,1316,58,78.5%,Reinhardt University,45
N/A,8.6%,2.7,72,1%,670-840,14:1,"Richmond, VA",18%,96,83.5%,36,8,6%,#68,"$14,930",83%,54%,/best-colleges/virginia-union-university-3766,35%,27%,1749,82,48.1%,Virginia Union University,53
N/A,9.2%,2.2,61,0%,19-23,12:1,"Conway, AR",38%,31,65.3%,34,4,18%,#69,"$13,800",54.9%,59%,/best-colleges/central-baptist-college-1093,38%,34%,827,29,84.5%,Central Baptist College,95
N/A,N/A,2.2,9,N/A,N/A,N/A,"Boca Raton, FL",N/A,91,57.8%,72,N/A,N/A,#70,"$15,400",91%,66%,/best-colleges/everglades-university-31085,62%,N/A,,88,N/A,Everglades University,75
N/A,16.2%,2.4,68,5%,15-18,19:1,"Fort Valley, GA",23%,74,88.6%,14,-8,5%,#71Tie,"in-state: $6,448, out-of-state: $19,364",30.9%,61%,/best-colleges/fort-valley-1566,28%,36%,3180,82,47.1%,Fort Valley State University,22
N/A,5.6%,2.4,67,0.4%,16-21,16:1,"Glenville, WV",20%,67,83.1%,52,0,8%,#71Tie,"in-state: $6,696, out-of-state: $15,120",66.9%,64%,/best-colleges/glenville-state-college-3813,30%,30%,1850,67,65.1%,Glenville State College,65
N/A,2.6%,2.5,88,0%,760-970,13:1,"Rocky Mount, NC",14%,83,43.3%,66,-3,5%,#71Tie,"$26,981",46.6%,55%,/best-colleges/north-carolina-wesleyan-2951,33%,36%,1602,11,74%,North Carolina Wesleyan College,61
N/A,N/A,2.5,49,N/A,18-23,N/A,"Pineville, LA",N/A,61,100%,72,-12,N/A,#74Tie,"$14,520",74.2%,64%,/best-colleges/louisiana-college-2007,39%,51%,,84,N/A,Louisiana College,75
N/A,5.9%,2.2,59,N/A,18-22,19:1,"West Point, GA",34%,41,50%,51,8,12%,#74Tie,"$17,650",53.5%,59%,/best-colleges/atlanta-christian-1547,48%,40%,1439,74,N/A,Point University,73
,N/A,2.7,68,N/A,810-990,22:1,"Tifton, GA",N/A,78,79.8%,72,N/A,N/A,"
                RNP
            ","in-state: $4,281, out-of-state: $10,415",70.9%,59%,/best-colleges/abraham-baldwin-agricultural-college-1541,N/A,N/A,3394,92,N/A,Abraham Baldwin Agricultural College,91
