high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,17.4%,2.3,81,2%,19-25,14:1,"Williamsburg, KY",38%,56,78%,11,-7,15%,#92Tie,"$20,000",71.3%,58%,/best-colleges/university-of-the-cumberlands-1962,43%,50%,4924,81,58.7%,University of the Cumberlands,121
N/A,3.7%,2.8,79,10%,870-1030,19:1,"Carrollton, GA",N/A,106,89.8%,93,-2,N/A,#92Tie,"in-state: $6,956, out-of-state: $19,852",53.9%,72%,/best-colleges/university-west-georgia-1601,42%,44%,11929,118,27.5%,University of West Georgia,101
N/A,N/A,2.5,72,N/A,730-910,16:1,"Petersburg, VA",17%,127,85.6%,104,10,5%,#92Tie,"in-state: $8,002, out-of-state: $17,258",54.1%,65%,/best-colleges/virginia-state-3764,42%,32%,5763,83,N/A,Virginia State University,108
,5.6%,2.3,105,4%,15-19,18:1,"Normal, AL",N/A,120,90.5%,67,-2,N/A,"
                RNP
            ","in-state: $8,298, out-of-state: $15,798",89.9%,69%,/best-colleges/alabama-am-1002,29%,31%,5024,74,47.9%,Alabama Agricultural and Mechanical University,14
,N/A,2.5,122,N/A,15-20,17:1,"Montgomery, AL",1%,125,85.9%,104,2,1%,"
                RNP
            ","in-state: $8,720, out-of-state: $15,656",54.2%,61%,/best-colleges/alabama-state-university-1005,26%,24%,6075,113,N/A,Alabama State University,16
,4.8%,2.3,105,5%,920-1090,19:1,"Savannah, GA",N/A,88,82.9%,77,-9,N/A,"
                RNP
            ","in-state: $5,934, out-of-state: $17,700",67.8%,68%,/best-colleges/armstrong-atlantic-state-university-1546,34%,43%,7101,102,38.9%,Armstrong State University,101
,3.1%,2.2,113,1%,17-23,13:1,"McKenzie, TN",N/A,100,63%,97,-2,N/A,"
                RNP
            ","$15,714",61.6%,62%,/best-colleges/bethel-university-tennessee-3480,34%,36%,5749,98,70.4%,Bethel University,87
,4.4%,2.6,94,4%,870-1080,15:1,"Charleston, SC",37%,100,80.3%,90,-10,10%,"
                RNP
            ","$22,840",68.9%,64%,/best-colleges/charleston-southern-3419,36%,46%,3269,90,56.4%,Charleston Southern University,74
,4.9%,2.5,105,7%,880-1100,17:1,"Columbus, GA",38%,83,79.8%,77,-10,17%,"
                RNP
            ","in-state: $6,898, out-of-state: $19,794",56%,68%,/best-colleges/columbus-state-university-1561,31%,41%,8164,89,41.9%,Columbus State University,70
,4.6%,2.5,102,3%,19-23,14:1,"Lebanon, TN",29%,56,63.1%,82,-10,9%,"
                RNP
            ","$20,200",47.3%,67%,/best-colleges/cumberland-university-3485,37%,47%,1501,108,59%,Cumberland University,51
,1.3%,2.2,102,5%,18-23,17:1,"Fairmont, WV",39%,72,79.6%,124,-1,13%,"
                RNP
            ","in-state: $5,824, out-of-state: $12,288",66.5%,65%,/best-colleges/fairmont-state-3812,34%,35%,4232,105,46.4%,Fairmont State University,85
,2.3%,2.2,99,1%,770-910,17:1,"Fayetteville, NC",17%,126,92.7%,119,5,4%,"
                RNP
            ","in-state: $5,035, out-of-state: $16,643",60.8%,72%,/best-colleges/fayetteville-state-university-2928,32%,27%,6179,31,37.5%,Fayetteville State University,44
,N/A,1.9,72,N/A,N/A,N/A,"Miami, FL",N/A,104,84.4%,104,10,N/A,"
                RNP
            ","$14,776",41.6%,70%,/best-colleges/florida-memorial-university-1486,40%,30%,,116,N/A,Florida Memorial University,108
,1.1%,2.4,110,2%,860-1050,17:1,"Americus, GA",36%,95,88.1%,125,-5,16%,"
                RNP
            ","in-state: $6,106, out-of-state: $18,612",68%,65%,/best-colleges/georgia-southwestern-1573,36%,41%,2806,57,52.4%,Georgia Southwestern State University,75
,2.1%,2.4,119,10%,16-20,23:1,"Grambling, LA",22%,120,96%,119,6,8%,"
                RNP
            ","in-state: $6,545, out-of-state: $15,744",44.4%,N/A,/best-colleges/grambling-state-university-2006,31%,25%,5071,125,39.8%,Grambling State University,95
,3%,2.6,115,2%,19-24,15:1,"Arkadelphia, AR",26%,80,86.6%,99,-14,12%,"
                RNP
            ","in-state: $7,561, out-of-state: $13,921",62.2%,60%,/best-colleges/henderson-state-university-1098,29%,43%,3583,57,58.8%,Henderson State University,87
,6.6%,2.7,109,6%,19-26,17:1,"Jacksonville, AL",39%,86,84.9%,54,-9,18%,"
                RNP
            ","in-state: $8,790, out-of-state: $17,280",83.4%,69%,/best-colleges/jacksonville-state-1020,31%,40%,8693,112,37.7%,Jacksonville State University,83
,11.8%,2.4,122,0%,19-24,14:1,"Columbia, KY",33%,74,74.9%,26,-5,13%,"
                RNP
            ","$22,550",71.5%,56%,/best-colleges/lindsey-wilson-college-1972,29%,34%,2644,74,61.3%,Lindsey Wilson College,85
,N/A,2.7,117,6%,20-24,N/A,"Shreveport, LA",N/A,92,86.2%,104,-13,N/A,"
                RNP
            ","$5,606",89.4%,67%,/best-colleges/lsus-2013,31%,44%,4114,57,56.1%,Louisiana State University—​Shreveport,101
,N/A,2.2,124,N/A,15-19,N/A,"Itta Bena, MS",N/A,117,92.8%,104,3,N/A,"
                RNP
            ","$5,916",22.7%,61%,/best-colleges/mississippi-valley-state-2424,24%,21%,,95,N/A,Mississippi Valley State University,108
,N/A,2.1,105,N/A,820-1080,N/A,"Montreat, NC",N/A,110,100%,104,-7,N/A,"
                RNP
            ","$23,420",54.3%,51%,/best-colleges/montreat-college-2948,39%,46%,,108,N/A,Montreat College,108
,2.9%,2.4,99,4%,770-948,18:1,"Norfolk, VA",26%,124,N/A,99,-1,13%,"
                RNP
            ","in-state: $8,850, out-of-state: $21,540",65%,N/A,/best-colleges/norfolk-state-university-3765,33%,34%,6728,95,50.8%,Norfolk State University,57
,N/A,2.7,117,N/A,N/A,N/A,"New Orleans, LA",N/A,106,63.8%,104,-12,N/A,"
                RNP
            ","$12,620",48.5%,77%,/best-colleges/our-lady-of-holy-cross-2023,24%,36%,,118,N/A,Our Lady of Holy Cross College,108
,6.8%,2.5,70,1%,900-1080,17:1,"Shepherdstown, WV",N/A,100,64.7%,54,-8,N/A,"
                RNP
            ","in-state: $6,570, out-of-state: $16,628",94.3%,67%,/best-colleges/shepherd-university-3822,38%,46%,4221,93,52.6%,Shepherd University,107
,4.3%,2.4,99,8%,20-24,22:1,"Hammond, LA",30%,64,92.1%,90,-3,11%,"
                RNP
            ","in-state: $5,715, out-of-state: $17,734",89.2%,67%,/best-colleges/southeastern-louisiana-2024,36%,39%,14949,83,30.9%,Southeastern Louisiana University,124
,4.2%,2.2,110,3%,18-24,15:1,"Magnolia, AR",42%,59,79.3%,90,-5,20%,"
                RNP
            ","in-state: $7,466, out-of-state: $10,616",60.8%,62%,/best-colleges/southern-arkansas-1107,31%,36%,3404,87,47.4%,Southern Arkansas University,90
